"novoId","antigoId"
novo1BZ73617,BZ73617
novo2BZ73617,BZ73617
novo1BZ45167,BZ45167
novo2BZ45167,BZ45167
novo1BZ43147,BZ43147
novo2BZ43147,BZ43147
novo1BZ65026,BZ65026
novo2BZ65026,BZ65026
novo1BZ58220,BZ58220
novo2BZ58220,BZ58220
novo1DC26391,DC26391
novo2DC26391,DC26391
novo1BZ26403,BZ26403
novo2BZ26403,BZ26403
novo1BZ66266,BZ66266
novo2BZ66266,BZ66266
novo1DC18403,DC18403
novo2DC18403,DC18403
novo1BZ63673,BZ63673
novo2BZ63673,BZ63673
novo1BZ51648,BZ51648
novo2BZ51648,BZ51648
novo1BZ20358,BZ20358
novo2BZ20358,BZ20358
novo1BZ35329,BZ35329
novo2BZ35329,BZ35329
novo1BZ54064,BZ54064
novo2BZ54064,BZ54064
novo1BZ71367,BZ71367
novo2BZ71367,BZ71367
novo1BZ42888,BZ42888
novo2BZ42888,BZ42888
novo1BZ35258,BZ35258
novo2BZ35258,BZ35258
novo1BZ72724,BZ72724
novo2BZ72724,BZ72724
novo1BZ43404,BZ43404
novo2BZ43404,BZ43404
novo1BZ40503,BZ40503
novo2BZ40503,BZ40503
novo1BZ47650,BZ47650
novo2BZ47650,BZ47650
novo1BZ57510,BZ57510
novo2BZ57510,BZ57510
novo1BZ39966,BZ39966
novo2BZ39966,BZ39966
novo1BZ34787,BZ34787
novo2BZ34787,BZ34787
novo1BZ19141,BZ19141
novo2BZ19141,BZ19141
novo1BZ62142,BZ62142
novo2BZ62142,BZ62142
novo1BZ29739,BZ29739
novo2BZ29739,BZ29739
novo1BZ24766,BZ24766
novo2BZ24766,BZ24766
novo1DC17850,DC17850
novo2DC17850,DC17850
novo1BZ39687,BZ39687
novo2BZ39687,BZ39687
novo1BZ77627,BZ77627
novo2BZ77627,BZ77627
novo1BZ62825,BZ62825
novo2BZ62825,BZ62825
novo1BZ24765,BZ24765
novo2BZ24765,BZ24765
novo1BZ68845,BZ68845
novo2BZ68845,BZ68845
novo1EH487995,EH487995
novo2EH487995,EH487995
novo1BZ6935,BZ6935
novo2BZ6935,BZ6935
novo1BZ76558,BZ76558
novo2BZ76558,BZ76558
novo1BZ34625,BZ34625
novo2BZ34625,BZ34625
novo1BZ77217,BZ77217
novo2BZ77217,BZ77217
novo1BZ37280,BZ37280
novo2BZ37280,BZ37280
novo1BZ37277,BZ37277
novo2BZ37277,BZ37277
novo1BZ37397,BZ37397
novo2BZ37397,BZ37397
novo1BZ76705,BZ76705
novo2BZ76705,BZ76705
novo1AG66537,AG66537
novo2AG66537,AG66537
novo1BZ46320,BZ46320
novo2BZ46320,BZ46320
novo1BZ24756,BZ24756
novo2BZ24756,BZ24756
novo1BZ47227,BZ47227
novo2BZ47227,BZ47227
novo1BZ76803,BZ76803
novo2BZ76803,BZ76803
novo1BZ71067,BZ71067
novo2BZ71067,BZ71067
novo1BZ71373,BZ71373
novo2BZ71373,BZ71373
novo1CW1087228,CW1087228
novo2CW1087228,CW1087228
novo1DC23978,DC23978
novo2DC23978,DC23978
novo1BZ7583,BZ7583
novo2BZ7583,BZ7583
novo1BZ71894,BZ71894
novo2BZ71894,BZ71894
novo1EH949931,EH949931
novo2EH949931,EH949931
novo1BZ71359,BZ71359
novo2BZ71359,BZ71359
novo1BZ46472,BZ46472
novo2BZ46472,BZ46472
novo1BZ2764,BZ2764
novo2BZ2764,BZ2764
novo1BZ58961,BZ58961
novo2BZ58961,BZ58961
novo1BZ69529,BZ69529
novo2BZ69529,BZ69529
novo1BZ30470,BZ30470
novo2BZ30470,BZ30470
novo1BZ67369,BZ67369
novo2BZ67369,BZ67369
novo1BZ52941,BZ52941
novo2BZ52941,BZ52941
novo1BZ45723,BZ45723
novo2BZ45723,BZ45723
novo1BZ53512,BZ53512
novo2BZ53512,BZ53512
novo1BZ18617,BZ18617
novo2BZ18617,BZ18617
novo1BZ65605,BZ65605
novo2BZ65605,BZ65605
novo1BZ52420,BZ52420
novo2BZ52420,BZ52420
novo1BZ46617,BZ46617
novo2BZ46617,BZ46617
novo1BZ34760,BZ34760
novo2BZ34760,BZ34760
novo1BZ3624,BZ3624
novo2BZ3624,BZ3624
novo1DA73368,DA73368
novo2DA73368,DA73368
novo1BZ27517,BZ27517
novo2BZ27517,BZ27517
novo1BZ2504,BZ2504
novo2BZ2504,BZ2504
novo1BZ18151,BZ18151
novo2BZ18151,BZ18151
novo1BZ2507,BZ2507
novo2BZ2507,BZ2507
novo1BZ38188,BZ38188
novo2BZ38188,BZ38188
novo1BZ31448,BZ31448
novo2BZ31448,BZ31448
novo1BZ5074,BZ5074
novo2BZ5074,BZ5074
novo1CW381976,CW381976
novo2CW381976,CW381976
novo1BZ74130,BZ74130
novo2BZ74130,BZ74130
novo1BZ72022,BZ72022
novo2BZ72022,BZ72022
novo1BZ72719,BZ72719
novo2BZ72719,BZ72719
novo1BZ44990,BZ44990
novo2BZ44990,BZ44990
novo1BZ29923,BZ29923
novo2BZ29923,BZ29923
novo1BZ72894,BZ72894
novo2BZ72894,BZ72894
novo1BZ77771,BZ77771
novo2BZ77771,BZ77771
novo1BZ76895,BZ76895
novo2BZ76895,BZ76895
novo1BZ77177,BZ77177
novo2BZ77177,BZ77177
novo1BZ42434,BZ42434
novo2BZ42434,BZ42434
novo1EH1099708,EH1099708
novo2EH1099708,EH1099708
novo1BZ41172,BZ41172
novo2BZ41172,BZ41172
novo1BZ70560,BZ70560
novo2BZ70560,BZ70560
novo1BZ77218,BZ77218
novo2BZ77218,BZ77218
novo1BZ68875,BZ68875
novo2BZ68875,BZ68875
novo1BZ75889,BZ75889
novo2BZ75889,BZ75889
novo1EH791592,EH791592
novo2EH791592,EH791592
novo1BZ56124,BZ56124
novo2BZ56124,BZ56124
novo1BZ66636,BZ66636
novo2BZ66636,BZ66636
novo1BZ50135,BZ50135
novo2BZ50135,BZ50135
novo1BZ6959,BZ6959
novo2BZ6959,BZ6959
novo1BZ8955,BZ8955
novo2BZ8955,BZ8955
novo1BZ28881,BZ28881
