blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
256.06908202171326,1048.2005729675293,20578,11159,42726,0.10636274357781568,0.6483914673724674,1,20260907
256.3514347076416,1016.2478241920471,20578,11104,42640,0.10636274357781568,0.6495170759421753,2,20260908
228.39060163497925,904.8397486209869,20578,11100,42661,0.10636274357781568,0.6495990908516952,3,20260909
215.85422468185425,850.2499194145203,20578,11076,42555,0.10636274357781568,0.6500916155936058,4,20260910
210.81536841392517,814.7180001735687,20578,11124,42378,0.10636274357781568,0.6491073118415241,5,20260911
210.47554874420166,814.7534720897675,20578,11207,42720,0.10636274357781568,0.6474123014000315,6,20260912
210.47781991958618,814.6398000717163,20578,11113,42518,0.10636274357781568,0.649332618093465,7,20260913
210.6409809589386,814.6576638221741,20578,11119,42736,0.10636274357781568,0.649209704388428,8,20260914
210.76623344421387,815.8376145362854,20578,11133,42770,0.10636274357781568,0.6489230866260919,9,20260915
210.34567260742188,815.2358951568604,20578,11236,42877,0.10636274357781568,0.646822153768781,10,20260916
