blocking_s,matching_s,tp,fp,pairs_no,recall,precision,replica,seed
227.6220133304596,315.7040054798126,193463,4432,202154,0.9999638186798987,0.9776042851006848,1,20260907
231.9162015914917,314.2384431362152,193465,4435,202218,0.9999741561999277,0.977589691763517,2,20260908
231.85307145118713,312.61459469795227,193466,4367,202043,0.9999793249599421,0.9779258263282667,3,20260909
216.6113634109497,299.7705273628235,193463,4439,202023,0.9999638186798987,0.9775697062182293,4,20260910
217.53160643577576,300.16221809387207,193466,4450,202102,0.9999793249599421,0.977515713737141,5,20260911
216.5074234008789,303.45801854133606,193465,4429,202177,0.9999741561999277,0.977619331561341,6,20260912
217.5698595046997,304.7129211425781,193463,4345,202038,0.9999638186798987,0.9780342554396182,7,20260913
216.8764934539795,304.00532054901123,193464,4416,202129,0.9999689874399131,0.9776834445118253,8,20260914
217.5283772945404,303.4758098125458,193465,4438,202047,0.9999741561999277,0.9775748725385669,9,20260915
215.52892780303955,302.34135723114014,193462,4455,202250,0.9999586499198843,0.9774905642264181,10,20260916
